headline,guardian_keywords,esg_category
'The Pantanal is national heritage': protecting the world's largest wetlands ,"['environment', 'renewable energy']",environmental
"Nuclear power plants may not keep Britain's lights on, say Lib Dems ","['environment', 'renewable energy', 'climate change', 'greenhouse gas emissions']",environmental
Centre-right thinktank warns Morrison government of 'grave future for coal exports' ,"['greenhouse gas emissions', 'climate change']",environmental
"Fracking site polluted by trucks, police and protests, says scientist ","['air pollution', 'environment']",environmental
Rising temperatures shrink Arctic sea ice to second-lowest level on record ,"['climate change', 'environment']",environmental
"Inside Glanrhyd, the first solar 'eco hamlet' in Wales ","['renewable energy', 'environment']",environmental
"Despite climate change exodus, some Marshall Islanders head back home ","['climate change', 'environment']",environmental
England urged to urgently improve stalled recycling rates ,"['recycling', 'environment', 'waste']",environmental
Goldman Sachs to stop financing new drilling for oil in the Arctic ,"['climate change', 'environment']",environmental
"One in 10 UK wildlife species faces extinction, major report shows ","['climate change', 'environment']",environmental
A new type of politics could help prevent climate disaster | Andrew Simms ,"['environment', 'climate change']",environmental
Tesla boss Elon Musk unveils solar roof tiles ,"['environment', 'renewable energy']",environmental
'Australia's largest unsanctioned art show': guerrilla bushfire campaign hijacks bus shelters ,"['climate change', 'environment']",environmental
Environmental groups not convinced by Sunak's 'green growth' budget ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
'Alarm bells we cannot ignore': world hunger rising for first time this century ,['climate change'],environmental
'Tiny wind turbine' can collect energy from a walker's swinging arm ,"['renewable energy', 'environment']",environmental
This election isn't about the next four years. It's about the next four millennia | Bill McKibben ,"['climate change', 'climate change', 'environment']",environmental
How to turn rhubarb into a Valentine's drink | Waste Not ,"['environment', 'waste']",environmental
'Don't touch my Vespa!' Why Genoa is threatening to ban its icon of cool ,"['pollution', 'environment']",environmental
"Trump’s dilemma: to please his friends by trashing the Paris climate deal, or not? | Bill McKibben ","['climate change', 'environment']",environmental
New inhaler protects lungs against effects of air pollution ,"['pollution', 'environment']",environmental
Fatbergs are the true time capsules of all we’d like to forget | Eva Wiseman ,"['waste', 'pollution', 'environment']",environmental
'A prisoner of environment': is it time to leave the American west? ,"['environment', 'climate change']",environmental
Artist Gavin Turk arrested in London climate change protest ,"['climate change', 'environment']",environmental
Forest fires in Indonesia choke much of south-east Asia ,"['environment', 'climate change']",environmental
Are electric vehicles really so climate friendly? ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
National Trust aims to 'nurse British countryside back to health' ,"['environment', 'climate change', 'renewable energy']",environmental
The end of the Arctic as we know it ,"['climate change', 'climate change', 'environment']",environmental
Dust bowl conditions of 1930s US now more than twice as likely to reoccur ,"['environment', 'climate change', 'climate change']",environmental
A third of my country was just underwater. The world must act on climate | Sheikh Hasina ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Wrapped up in sustainability | Brief letters ,"['recycling', 'environment', 'waste']",environmental
Charities say next UK government must bring forward climate targets ,"['environment', 'greenhouse gas emissions', 'climate change']",environmental
"Can Tesla downshift from $130,000 SUVs to mass market electric cars? ","['greenhouse gas emissions', 'environment']",environmental
Western Australia loosens emission reduction requirements for new major projects ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Nissan Leaf review: a clean set of wheels ,"['greenhouse gas emissions', 'environment']",environmental
"Tilos, Greece: the first island in the Med to run entirely on wind and solar power ","['renewable energy', 'environment']",environmental
‘I wake up angry and I go to bed angry’: meet the protesting pensioners ,['climate change'],environmental
The Guardian view on low-traffic neighbourhoods: streets ahead | Editorial ,"['environment', 'air pollution', 'climate change']",environmental
'A sort of eco-dictatorship': Shanghai grapples with strict new recycling laws ,"['recycling', 'environment', 'waste']",environmental
The future has arrived. These explosive fires are our climate change wakeup call ,['climate change'],environmental
Coronavirus exposes the danger of embracing protectionism | Richard Partington ,['climate change'],environmental
The Guardian view on climate change: a global emergency | Editorial ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Can the aviation industry really go carbon neutral by 2050? ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
'Apocalyptic threat': dire climate report raises fears for California's future ,"['climate change', 'environment']",environmental
Switch to low-carbon transport could 'save UK billions' ,"['greenhouse gas emissions', 'environment', 'climate change']",environmental
Share your questions for climate strikers and George Monbiot | Environment | The Guardian ,"['environment', 'climate change']",environmental
Stuttgart residents sue mayor for 'bodily harm' caused by air pollution ,"['pollution', 'environment']",environmental
Matt Hancock launches study into 'deadly poison' of air pollution ,"['air pollution', 'environment', 'pollution']",environmental
A third of the world now faces deadly heatwaves as result of climate change ,"['environment', 'climate change']",environmental
"The climate crisis isn’t just causing extreme weather. It’s fuelling extreme politics, too | Nick Lowles ","['climate change', 'environment']",environmental
Slow streets: can coronavirus cure Brussels of its addiction to driving? ,"['pollution', 'environment']",environmental
De Blasio plans to build new chunk of Manhattan to combat climate change ,"['climate change', 'environment']",environmental
Obama's approval of Arctic drilling 'undermines his climate message' ,"['climate change', 'environment']",environmental
The annotated picture: climbing Nelson’s column ,"['pollution', 'environment']",environmental
Climate change made Siberian heatwave 600 times more likely – study ,"['climate change', 'environment', 'climate change']",environmental
25 English beaches likely to fail new EU standards for swimming ,"['environment', 'pollution']",environmental
Bill Gates: ‘Carbon neutrality in a decade is a fairytale. Why peddle fantasies?’ ,"['climate change', 'climate change', 'greenhouse gas emissions', 'environment']",environmental
Never mind the oil – bringing Texas to Surrey would spell disaster | Molly Scott Cato ,"['environment', 'climate change', 'climate change']",environmental
The Extinction Rebels have a noble cause. What they don’t need now is tactical stupidity | Catherine Bennett ,"['environment', 'climate change', 'climate change']",environmental
Johnson urged to name ‘big hitter’ to head COP26 climate summit ,"['climate change', 'environment']",environmental
Where are the world's most fire-prone cities? ,"['environment', 'climate change']",environmental
"Exxon, Stephen Hawking, greens, and Reagan’s advisors agree on a carbon tax | Dana Nuccitelli ","['climate change', 'greenhouse gas emissions', 'environment']",environmental
‘Air is cleaner than before the Industrial Revolution’: a best case scenario for the climate in 2050 ,"['climate change', 'environment', 'climate change', 'greenhouse gas emissions']",environmental
How should Jeff Bezos invest his $10bn Earth Fund? ,"['climate change', 'environment', 'greenhouse gas emissions', 'climate change']",environmental
Fukushima unveils plans to become renewable energy hub ,"['renewable energy', 'environment']",environmental
Butterflywatch: could be worse – verdict for the 2017 season ,"['climate change', 'climate change', 'environment']",environmental
"Environment reporters facing harassment and murder, study finds ","['pollution', 'climate change', 'environment']",environmental
Republicans have one option to eliminate EPA carbon regulations | Dana Nuccitelli ,"['climate change', 'climate change']",environmental
Snowy Hydro is a bad deal for taxpayers – and won't deliver the amount of electricity claimed | Bruce Mountain for the Conversation ,['renewable energy'],environmental
Why the climate crisis is harder to spot in the UK and US ,"['climate change', 'climate change']",environmental
Scores arrested as thousands block London bridges in climate rebellion # #ExtinctionRebellion ,"['climate change', 'environment']",environmental
Indonesia's food chain turns toxic as plastic waste exports flood in ,"['environment', 'plastics', 'waste']",environmental
Slump in oil prices drives green energy take up in top exporting nations ,"['renewable energy', 'environment']",environmental
UK ‘needs billions a year’ to meet 2050 climate targets ,"['climate change', 'environment']",environmental
Industry alliance sets out $1bn to tackle oceans' plastic waste ,"['plastics', 'waste', 'recycling', 'environment']",environmental
'Shocking' rise in rubbish washing up on UK beaches ,"['plastics', 'waste', 'environment']",environmental
a2 Milk becomes first mainstream dairy brand to ditch plastic bottles ,"['plastics', 'environment']",environmental
"Avoid using wood burning stoves if possible, warn health experts ","['air pollution', 'pollution', 'environment']",environmental
London air pollution activists 'prepared to go to prison' to force action ,"['air pollution', 'pollution', 'environment']",environmental
Seeds of Time - preserving food resources in a hot future climate | John Abraham ,"['climate change', 'environment', 'climate change']",environmental
The day we stopped Europe’s biggest polluter in its tracks | John Jordan ,"['environment', 'pollution', 'climate change']",environmental
#HabitatIII is all about cities. The UN should give them a seat at the table  @guardiancities ,"['climate change', 'environment']",environmental
Diesel decline and Brexit uncertainty push down UK car sales ,['greenhouse gas emissions'],environmental
The death of Heathrow’s third runway sends a clear message ahead of Cop26 | Leo Murray ,"['climate change', 'environment']",environmental
"'It's hard, we're neighbours': the coalmine polluting friendships on Poland's borders ","['air pollution', 'climate change', 'environment']",environmental
Climate change is the story you missed in 2017. And the media is to blame | Lisa Hymas ,"['climate change', 'climate change', 'environment']",environmental
James Bond to drive electric Aston Martin in new movie ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Lemon juice, legumes and local activism: what green habits have you adopted in 2020? ","['climate change', 'environment']",environmental
Germany cuts fares for long-distance rail travel in response to climate crisis ,"['climate change', 'environment']",environmental
Climate coalition breaks cover in Paris to push for binding and ambitious deal ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
"Our journalists are taking donations over the phone today to raise money for natural climate solutions including tree-planting and forest protection. Give them a call on 0203 353 4368 until 6PM GMT 
 #gdntelethon","['climate change', 'environment']",environmental
What else happened as coronavirus swept the globe ,"['climate change', 'environment']",environmental
CO2 turned into stone in Iceland in climate change breakthrough ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Oil company employees should consider quitting their jobs | Jonathon Porritt ,"['environment', 'climate change']",environmental
Unseasonably warm temperatures may have contributed to the deaths of two Arctic ice researchers ,"['environment', 'climate change', 'climate change']",environmental
Carbon emission release rate ‘unprecedented’ in past 66m years ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Plastic is so over. So why do some fashion houses still treat it as cool? | Lucy Siegle ,"['plastics', 'recycling', 'waste', 'environment']",environmental
"Australian aluminium smelters 'not sustainable’ due to high power costs, Rio Tinto says ","['climate change', 'environment']",environmental
"Greenland's ice melting faster than at any time in past 12,000 years ","['climate change', 'environment']",environmental
Our kids learn their ABCs in school. But why not climate change? | Mike Honda and Edward J Markey ,"['climate change', 'environment']",environmental
Great Barrier Reef authority urges 'fastest possible action' on emissions ,"['environment', 'climate change']",environmental
Want to monitor air pollution? Test a pigeon ,"['air pollution', 'pollution', 'environment']",environmental
It is absurd to question whether we can afford to keep our planet liveable | Fiona Harvey ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Mark Zuckerberg's Beijing smog jog chokes up Chinese social media ,"['pollution', 'environment']",environmental
"Flooding from sea level rise threatens over 300,000 US coastal homes – study ","['climate change', 'environment']",environmental
New York's canners: the people who survive off a city's discarded cans ,"['recycling', 'environment', 'waste']",environmental
If you want to tackle carbon emissions let indigenous people control their land ,"['climate change', 'environment']",environmental
‘A major leap for mankind’: world leaders hail Paris deal on climate ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
UK butterfly season off to unusually early start after sunniest of springs ,"['climate change', 'environment']",environmental
Paris climate deal: countries with about half of global emissions to join this year ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Vietnam investigates mass fish deaths ,"['pollution', 'environment']",environmental
"No house of straw: Sarah Wigglesworth's eco-home, 20 years on ","['environment', 'recycling']",environmental
Joint venture looks to invest billions in 'natural capital' projects to help combat climate change ,"['environment', 'climate change']",environmental
New Cumbria coalmine 'incompatible' with climate crisis goals ,"['environment', 'climate change', 'renewable energy', 'greenhouse gas emissions']",environmental
Facts behind the UK’s ‘green’ recovery | Letter ,"['climate change', 'environment']",environmental
Japan begins work on 'world's largest' floating solar farm ,"['environment', 'renewable energy']",environmental
'Australia doesn’t realise’: worsening drought pushes farmers to the brink ,"['environment', 'climate change']",environmental
Electric cars go like clockwork for me | Brief letters ,"['greenhouse gas emissions', 'environment']",environmental
'It saved our business': Italy's farmers turn low into high with cannabis ,"['climate change', 'environment']",environmental
London trials free water bottle refills in bid to cut plastic waste ,"['plastics', 'environment', 'recycling', 'waste']",environmental
Solar Impulse 2 makes unscheduled stopover in Japan ,"['environment', 'renewable energy']",environmental
Paris forecast to record its hottest ever day as heatwave sears Europe ,"['environment', 'climate change']",environmental
UK considers ending financial support for fossil fuels overseas ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Where are the architects who will put the environment first? ,"['climate change', 'environment']",environmental
ExxonMobil tried to censor climate scientists to Congress during Bush era ,"['climate change', 'environment']",environmental
Environmentally friendly electric cars: the pedestrian’s enemy? ,"['greenhouse gas emissions', 'environment']",environmental
"'Our leaders are like children,' school strike founder tells climate summit ","['climate change', 'environment']",environmental
Carmageddon: it’s killing urban life. We must reclaim our cities before it’s too late | George Monbiot ,"['pollution', 'environment', 'air pollution']",environmental
VW 'close to agreement with US regulators' over emissions scandal ,"['pollution', 'greenhouse gas emissions', 'environment']",environmental
Blow for coal companies as EU price on carbon emissions hits ten-year high ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Cost of policing COP26 in Glasgow 'could exceed £200m' | Police | The Guardian ,"['climate change', 'environment']",environmental
Joe Biden’s plans to combat climate crisis have – predictably – provoked GOP backlash ,"['climate change', 'environment']",environmental
UK accused of ignoring obligations on aviation emissions ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
The Guardian view on COP 21 climate talks: saving the planet in a fracturing world | Editorial ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
ExxonMobil under investigation over claims it lied about climate change risks ,"['climate change', 'environment']",environmental
Greta Thunberg tells EU: greenhouse gas targets need doubling ,"['climate change', 'climate change', 'environment', 'greenhouse gas emissions']",environmental
"Eating less meat isn’t just good for you, it could save the planet | Adam Briggs ","['climate change', 'environment']",environmental
"Breitbart's James Delingpole says reef bleaching is 'fake news', hits peak denial | Graham Readfearn ","['climate change', 'environment', 'climate change']",environmental
Schoolchildren go on strike across world over climate crisis ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Not so starry night: light pollution spoils the view for stargazers ,"['pollution', 'environment']",environmental
Climate report: Trump administration downplays warnings of looming disaster ,"['climate change', 'environment']",environmental
Unilever vows to invest €1bn in green projects ,"['plastics', 'environment', 'climate change', 'greenhouse gas emissions']",environmental
Solar industry bosses attack government over jobs and subsidies ,"['environment', 'renewable energy']",environmental
"Britain leads race to make nuclear waste safe for 100,000 years ","['environment', 'waste']",environmental
David Harewood on the shocking results of drought in Kenya ,"['climate change', 'environment', 'climate change']",environmental
‘Next fire season is already upon us’: NSW to adopt all recommendations of bushfire inquiry report ,"['climate change', 'environment']",environmental
The Welsh valleys road with some of the UK's worst air pollution ,"['pollution', 'environment']",environmental
To ensure a green future the UK needs to ditch free market economics ,"['environment', 'climate change']",environmental
"Hot weather raises risk of early childbirth, study finds ","['climate change', 'environment']",environmental
It’s a dog’s life opening brown ale bottles | Brief letters ,"['recycling', 'waste', 'environment', 'plastics']",environmental
Sajid Javid calls for 'full force of law' against Extinction Rebellion protesters ,"['environment', 'climate change']",environmental
The Guardian view on local elections: national lessons for Brexit | Editorial ,['climate change'],environmental
Why we’re all everyday climate change deniers | Alice Bell ,"['climate change', 'environment']",environmental
Life stories: books about a planet in peril ,"['environment', 'climate change']",environmental
Lobbyist dubbed Dr Evil behind front groups attacking Obama power rules ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Asia's glaciers to shrink by a third by 2100, threatening water supply of millions ","['climate change', 'environment']",environmental
Independent British festivals commit to banning plastic bottles and straws by 2021 ,"['plastics', 'recycling', 'environment', 'waste']",environmental
California passes ambitious laws on emissions and energy efficiency ,"['climate change', 'climate change', 'environment']",environmental
NSW and Queensland bushfires: brief respite ahead of hot and windy week ,"['climate change', 'environment']",environmental
Weatherwatch: 'cold' winter days 3C warmer than 70 years ago ,['climate change'],environmental
"Australia needs 'fast-attack strategies' to stop megafires forming, bushfire experts say ","['environment', 'climate change']",environmental
‘Reading the writing on the wall’: why Wall Street is acting on the climate crisis ,"['climate change', 'environment']",environmental
Quarter of world's biggest firms 'fail to disclose emissions' ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Theresa May urged to persuade Trump not to quit Paris climate accord ,['climate change'],environmental
Why we must put flood defences before Johnson’s vanity projects | Letters ,"['environment', 'climate change', 'climate change']",environmental
"Converting coal plants to biomass could fuel climate crisis, scientists warn ","['environment', 'climate change', 'greenhouse gas emissions', 'renewable energy', 'waste']",environmental
"Nadia Whittome, Britain’s youngest MP, on race, Rees-Mogg – and taking a massive pay cut ","['climate change', 'environment', 'climate change']",environmental
"Guardian petition for fossil fuel divestment receives 60,000 signatures ","['climate change', 'environment']",environmental
Millions of UK public sector pensions 'exposed to risky fossil fuel investments' ,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
German backlash against EU air pollution limits 'lacks evidence' ,"['air pollution', 'environment', 'pollution']",environmental
What has the EU ever done for my … lungs? ,"['pollution', 'environment']",environmental
'Extraordinary' levels of pollutants found in 10km deep Mariana trench ,"['pollution', 'environment']",environmental
Australia is choking on smoke – so are air purifiers the answer? ,"['air pollution', 'environment']",environmental
"Further 150m people face extreme poverty by 2022, warns World Bank ","['climate change', 'environment']",environmental
"Momentum, the youth climate strikers and campaigning group Extinction Rebellion are to unite in a protest outside parliament on Wednesday. ","['environment', 'climate change']",environmental
"‘We’ve pissed mother nature off, big time’: the people coming home after Australia's fires ","['climate change', 'environment', 'climate change']",environmental
"EU must shut all coal plants by 2030 to meet Paris climate pledges, study says ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
#EXCLUSIVE: Australia has changed its historic data on carbon emissions: what happened? ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
The Guardian view on recycling: throwaway economy is not cost-free | Editorial ,"['recycling', 'waste', 'environment', 'plastics']",environmental
Fatberg 'autopsy' reveals growing health threat to Londoners ,"['environment', 'pollution']",environmental
Countries must triple climate emissions targets to limit global heating to 2C ,"['climate change', 'greenhouse gas emissions', 'climate change', 'environment']",environmental
Pollution is killing our children. Here’s how we can save them | Geraint Davies ,"['pollution', 'environment', 'air pollution']",environmental
IEA accused of undermining global shift from fossil fuels ,"['renewable energy', 'greenhouse gas emissions', 'climate change', 'environment']",environmental
"Factcheck: Is there really a green conspiracy to stop bushfire hazard reduction?

#Australiafires #Australianbushfires #firecrisis #bushfirecrisis #ausfires ","['environment', 'climate change']",environmental
Can the return of the milkround help squash our plastic problem? ,"['plastics', 'environment']",environmental
"France failing to tackle climate emergency, report says ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
Work to begin next year on first windfarm off England's south coast ,"['renewable energy', 'environment']",environmental
Could vertical take-off electric planes replace cars in our cities? ,"['environment', 'climate change', 'greenhouse gas emissions', 'renewable energy']",environmental
"UK risks losing out to Europe in home battery boom, report warns ","['renewable energy', 'environment']",environmental
"Katharine Hayhoe, climate evangelist, takes to the web to convert nonbelievers ","['climate change', 'climate change', 'environment']",environmental
Trump aides abruptly postpone meeting on whether to stay in Paris climate deal ,"['climate change', 'environment']",environmental
"Dashes, commas, and judgmental twitchers | Brief letters ","['waste', 'environment']",environmental
Michael Gove ‘haunted’ by plastic pollution seen in Blue Planet II ,"['plastics', 'environment', 'recycling', 'pollution', 'waste']",environmental
Stronger storms mean new 'category six' scale may be needed ,"['climate change', 'environment']",environmental
"China factories releasing thousands of tonnes of illegal CFC gases, study finds ","['environment', 'pollution']",environmental
Sandstorms turn sun blue and sky yellow in Beijing ,"['air pollution', 'environment']",environmental
Mayors of 20 European cities attack weak EU diesel pollution limits ,"['pollution', 'environment']",environmental
Smoke screen: how Australia's biggest polluters have been free to increase emissions ,"['environment', 'climate change']",environmental
Do you work tackling air pollution for a council? Share your experience with us ,"['air pollution', 'pollution', 'environment']",environmental
"As British tourists take to the seas, giant cruise ships spread pollution misery ","['pollution', 'air pollution']",environmental
Nasa to map coral reefs from the air to show impact of climate change ,"['environment', 'climate change', 'pollution']",environmental
"Greta Thunberg: After two years of school strikes, the world is still in a state of climate crisis denial ","['climate change', 'environment', 'greenhouse gas emissions']",environmental
Time to Act: climate change protesters march in London ,"['climate change', 'environment']",environmental
"People plan to fly and drive more post-Covid, climate poll shows ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Microplastics killing fish before they reach reproductive age, study finds ","['pollution', 'environment', 'plastics']",environmental
"Air pollution roars back in parts of UK, raising Covid fears ","['air pollution', 'pollution', 'environment']",environmental
'It's our time to rise up': youth climate strikes held in 100 countries ,"['climate change', 'environment']",environmental
What’s 76 years old and finished? The American century! ,"['climate change', 'environment', 'climate change', 'greenhouse gas emissions']",environmental
2016 set to be hottest year on record globally ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Ella Kissi-Debrah: how a mother’s fight for justice may help prevent other air pollution deaths ,"['air pollution', 'environment']",environmental
Builder aims to help UK construction industry kick its plastic habit ,"['plastics', 'environment', 'pollution']",environmental
African Development Bank president calls on successor to focus on poorest | Mark Anderson ,['climate change'],environmental
World's first floating windfarm to take shape off coast of Scotland ,"['renewable energy', 'environment']",environmental
Denmark could dig up and cremate mink killed in Covid cull ,"['environment', 'pollution']",environmental
Devastating 2020 Atlantic hurricane season breaks all records ,"['climate change', 'climate change']",environmental
"Air pollution, ill health and the need for a 21st-century Model T Ford | Letters ","['air pollution', 'pollution', 'environment']",environmental
The unstoppable rise of veganism: how a fringe movement went mainstream ,"['climate change', 'environment']",environmental
Could biodiversity destruction lead to a global tipping point? ,"['environment', 'climate change']",environmental
Australia bushfires: tens of thousands stranded while attempting to flee ,['climate change'],environmental
Why no Beano about Corbyn’s peace award? | Lettets ,"['climate change', 'environment', 'climate change']",environmental
US government climate report looks at how the oceans are buffering climate change | John Abraham ,"['climate change', 'environment', 'climate change']",environmental
Musk's Tesla makes a bid for Musk's SolarCity energy company ,"['environment', 'renewable energy']",environmental
Flooding: UK government plans for more extreme rainfall ,"['environment', 'climate change', 'climate change']",environmental
Trump pulled out the oil industry playbook and players for Paris | Benjamin Franta ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
'Crisis is a way of life': helping farmers cope with devastating climate change ,"['environment', 'climate change']",environmental
"Government refuses to release draft Pacific climate aid report, after nine months' delay ","['climate change', 'environment']",environmental
British people unaware of pollution levels in the air they breathe – study ,"['pollution', 'environment', 'air pollution']",environmental
Loss of biodiversity is just as catastrophic as climate change | Robert Watson ,"['climate change', 'environment']",environmental
Share your experiences of being a diesel car owner ,"['pollution', 'environment']",environmental
UN climate chief unable to secure meeting with US state department ,"['climate change', 'environment']",environmental
'A mine would kill Gloucester': residents have their say about Rocky Hill ,"['environment', 'climate change']",environmental
"The Antarctic ice sheet is a sleeping giant, beginning to stir | John Abraham ","['climate change', 'climate change']",environmental
Trump calls for some 'good old global warming' as US winter bites ,"['climate change', 'environment']",environmental
"Climate risks could wreak havoc on financial markets, EU watchdog warns ","['climate change', 'environment', 'greenhouse gas emissions']",environmental
'We cannot make it without science': Greta Thunberg says climate experts are being ignored ,"['climate change', 'environment']",environmental
"The Guardian view on climate change: too much, too soon | Editorial ","['climate change', 'environment', 'renewable energy']",environmental
"A letter to my home town Bobin, burned down in the NSW fires but unvanquished | Ned Haughton ","['environment', 'climate change']",environmental
Ilkley river group accuse environment ministers of blocking bathing application ,"['environment', 'pollution']",environmental
US carbon emissions set to fall to lowest level in two decades ,"['environment', 'greenhouse gas emissions', 'climate change', 'renewable energy']",environmental
Coastal flooding and peat bogs | Letters ,"['climate change', 'environment', 'greenhouse gas emissions', 'climate change', 'renewable energy', 'waste']",environmental
The fast fashion fix: 20 ways to stop buying new clothes for ever ,"['recycling', 'environment', 'waste']",environmental
UK move to classify Extinction Rebellion 'organised crime group' comes under fire ,"['climate change', 'environment']",environmental
The right language to protect the natural world | Letters ,"['environment', 'climate change', 'pollution']",environmental
Pacific nations beg for help for islanders when 'calamity' of climate change hits ,"['climate change', 'environment']",environmental
Weatherwatch: the long hot summer of 1990 began in May ,['climate change'],environmental
"Finding Nemo? We may be losing him, says climate study ","['environment', 'climate change']",environmental
"Teen activist @earthguardianz: ""My generation does give a damn about climate change""  #GroundUp ","['climate change', 'environment']",environmental
"Climate-warming El Niño very likely in 2019, says UN agency ","['climate change', 'environment', 'greenhouse gas emissions']",environmental
Will Australia continue to sacrifice its international reputation on the altar of coal? | Graham Readfearn ,"['climate change', 'environment']",environmental
O2 Arena to install mini wind turbines that can harness even a breeze ,"['renewable energy', 'environment']",environmental
"Canadian climate science faces crisis that may be felt globally, scientists warn ","['environment', 'climate change']",environmental
"Global carbon emissions stood still in 2016, offering climate hope ","['greenhouse gas emissions', 'climate change', 'environment', 'climate change']",environmental
"Prime minister, you need a credible climate policy for Australia. It's too dangerous to keep pretending you have one | Lenore Taylor ","['climate change', 'climate change', 'environment']",environmental
"Energy minister expects UK to miss renewables target, leaked letter shows ","['renewable energy', 'environment']",environmental
Tesco to end sales of 5p carrier bags ,"['environment', 'plastics']",environmental
Solar power to rise from Chernobyl's nuclear ashes ,"['renewable energy', 'environment']",environmental
"Meat tax ‘inevitable’ to beat climate and health crises, says report ","['climate change', 'pollution', 'environment']",environmental
The Colorado city using human waste to run its vehicles ,"['renewable energy', 'environment']",environmental
Cavity two-thirds the size of Manhattan discovered under Antarctic glacier ,"['climate change', 'climate change', 'environment']",environmental
Record numbers expected for annual British beach clean ,"['plastics', 'waste', 'environment']",environmental
"Thank you, Guardian, for your climate pledge | Letter ","['climate change', 'environment']",environmental
Trump officials voice anger at G7 focus on 'niche' issues such as climate change ,"['climate change', 'environment']",environmental
Hot houses: the race to save bats from overheating as temperatures rise ,"['environment', 'climate change']",environmental
Greening your life is all very well – but only a global climate strategy will fix this | Larry Elliott ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
Heathrow expansion: Planned price hikes will end budget flights not airport emissions | Leo Barasi ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"Trump 'believes climate is changing', says UN ambassador Nikki Haley ","['climate change', 'environment']",environmental
George Monbiot is wrong to suggest small farms are best for humans and nature ,"['environment', 'climate change']",environmental
How US cities are scrambling to protect people from extreme heat ,"['climate change', 'environment']",environmental
Morrison government 'ignored' Climate Change Authority's advice on Covid recovery ,"['climate change', 'environment', 'renewable energy']",environmental
'I came back to the city and instantly felt my heart tense up': readers discuss urban stress ,"['environment', 'pollution']",environmental
Holyrood and UK ministers in row about possible COP 26 venue ,"['climate change', 'environment']",environmental
"Trouble breathing: 'We all breathe the same air, but we don't breathe equally' ",['climate change'],environmental
Should we be having fewer children for the sake of the planet? ,"['environment', 'climate change']",environmental
New York City’s ban on foam containers overturned ,"['recycling', 'environment', 'waste']",environmental
"UK households wasting 34,000 tonnes of beef each year ","['waste', 'environment']",environmental
The 'well from hell' – my fight with BP to film Deepwater Horizon ,"['environment', 'pollution']",environmental
UK retailers 'will not suffer financial losses' from bottle deposit scheme ,"['plastics', 'waste', 'recycling', 'environment']",environmental
Trump's Fox News deputy national security advisor fooled him with climate fake news | Dana Nuccitelli ,"['climate change', 'environment', 'pollution', 'climate change']",environmental
The attacks on Bob Brown for opposing a windfarm are exhausting and hypocritical | Richard Denniss ,"['renewable energy', 'environment', 'climate change', 'greenhouse gas emissions']",environmental
'A first in my 60 years': readers spot early signs of spring ,"['environment', 'climate change', 'climate change']",environmental
"Make supermarkets and drinks firms pay for plastic recycling, say MPs ","['plastics', 'environment', 'pollution', 'recycling', 'waste']",environmental
Letters: nuclear energy is key to our future ,"['environment', 'waste']",environmental
The Wall Street Journal keeps peddling Big Oil propaganda | Dana Nuccitelli ,"['climate change', 'environment', 'greenhouse gas emissions', 'climate change']",environmental
"Poison once flowed in America's waters. With Trump, it might again | Peter Gleick ","['environment', 'pollution']",environmental
The Paris deal pullout is more damaging to the US than the climate ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
In a lather: sales of barred soap are up – but is it better at cleaning than a shower gel? ,"['plastics', 'environment']",environmental
How much do you know about the world's extreme weather challenges? Take the quiz ,"['climate change', 'environment']",environmental
"Ban gas boilers in new homes by 2025, says Committee on Climate Change ","['greenhouse gas emissions', 'climate change']",environmental
'Huge environmental waste' as US airlines fly near-empty planes ,['climate change'],environmental
"Single-use plastics a serious climate change hazard, study warns ","['plastics', 'climate change', 'environment', 'pollution']",environmental
